Material, VS[3], VS[8], VS[11], VA[3], VA[4], VA[11],       a0
Si      , -0.21,  0.04,   0.08,     0,     0,      0,  5.43095
Ge      , -0.23,  0.01,   0.06,     0,     0,      0,  5.64613
Sn      , -0.20,  0.00,   0.04,     0,     0,      0,  6.48920
GaP     , -0.22,  0.03,   0.07,  0.12,  0.07,   0.02,  5.4512
GaAs    , -0.23,  0.01,   0.06,  0.07,  0.05,   0.01,  5.6533
AlSb    , -0.21,  0.02,   0.06,  0.06,  0.04,   0.02,  6.1355
InP     , -0.23,  0.01,   0.06,  0.07,  0.05,   0.01,  5.8686
GaSb    , -0.22,  0.00,   0.05,  0.06,  0.05,   0.01,  6.0959
InAs    , -0.22,  0.00,   0.05,  0.08,  0.05,   0.03,  6.0584
InSb    , -0.20,  0.00,   0.04,  0.06,  0.05,   0.01,  6.4794
ZnS     , -0.22,  0.03,   0.07,  0.24,  0.14,   0.04,  5.420
ZnSe    , -0.23,  0.01,   0.06,  0.18,  0.12,   0.03,  5.670
ZnTe    , -0.22,  0.00,   0.05,  0.13,  0.10,   0.01,  6.10
CdTe    , -0.20,  0.00,   0.04,  0.15,  0.09,   0.04,  6.482
